2024/09/11 21:45:22 handlers.go:34: Received request to list VM instances
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: jenkins-prod-vm, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/us-central1-c
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: jira-migration-01, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/us-central1-c
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: jumpi, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/us-central1-c
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: jumpi-server, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/us-central1-c
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: kumo-nocmetrics, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/us-central1-c
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: master-icinga, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/us-central1-c
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: master2-icinga, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/us-central1-c
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: prod-msp-grafana, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/us-central1-c
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: prod-msp-prometheus, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/us-central1-c
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: selenium-dev, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/us-central1-c
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: selenium-prod1, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/us-central1-c
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: selenium-prod2, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/us-central1-c
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: sso, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/us-central1-c
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: sso1, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/us-central1-c
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: stage-master-icinga, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/us-central1-c
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: stage-master2-icinga, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/us-central1-c
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: stage-msp-elastic-master1, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/us-central1-c
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: stage-msp-elastic-master2, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/us-central1-c
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: stage-msp-elastic-master3, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/us-central1-c
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: stage-msp-elastic1, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/us-central1-c
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: stage-msp-elastic2, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/us-central1-c
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: stage-msp-elastic4, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/us-central1-c
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: stage-msp-elastic5, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/us-central1-c
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: stage-msp-grafana, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/us-central1-c
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: stage-msp-kibana, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/us-central1-c
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: stage-msp-parser1, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/us-central1-c
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: stage-msp-parser2, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/us-central1-c
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: stage-msp-prometheus, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/us-central1-c
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: vpn-1, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/us-central1-c
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: warlock-prod, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/us-central1-c
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: prod-eu-apm-elastic-master1, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/europe-west3-b
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: prod-eu-apm-elastic-master2, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/europe-west3-b
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: prod-eu-apm-elastic-master3, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/europe-west3-b
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: prod-eu-apm-elastic1, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/europe-west3-b
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: prod-eu-apm-elastic2, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/europe-west3-b
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: prod-eu-apm-elastic2-warm, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/europe-west3-b
